code,name,credits,subjectGroup,tags
477-312,การสำรวจและการเตรียมข้อมูล,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-313,การเขียนโปรแกรมสำหรับการวิเคราะห์ข้อมูล,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-314,การแสดงข้อมูลด้วยแผนภาพ,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-315,คลังข้อมูลและเหมืองข้อมูล,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-316,การเขียนโปรแกรมทางสถิติ,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-317,การวางแผนทรัพยากรองค์กร,3,ระบบสารสนเทศทางธุรกิจ,2567
477-318,พ.ร.บ.คุ้มครองส่วนบุคคลและการประยุกต์ใช้,3,ระบบสารสนเทศทางธุรกิจ,2567
477-321,การออกแบบประสบการณ์สำหรับผู้ใช้งาน,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-322,การจัดการโครงการระบบสารสนเทศ,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-323,การเขียนโปรแกรมประยุกต์บนอุปกรณ์เคลื่อนที่,3,ระบบสารสนเทศทางธุรกิจ,2563
477-323,การพัฒนาโปรแกรมประยุกต์สำหรับอุปกรณ์พกพา,3,ระบบสารสนเทศทางธุรกิจ,2567
477-324,มัลติมีเดียและการประยุกต์ใช้,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-331,หัวข้อพิเศษทางระบบสารสนเทศทางธุรกิจ 1,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-332,หัวข้อพิเศษทางระบบสารสนเทศทางธุรกิจ 2,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-401,สัมมนาระบบสารสนเทศทางธุรกิจ,3,ระบบสารสนเทศทางธุรกิจ,2563
477-401,สัมมนาระบบสารสนเทศทางธุรกิจ,1,ระบบสารสนเทศทางธุรกิจ,2567
477-402,โครงงานระบบสารสนเทศทางธุรกิจ I,3,ระบบสารสนเทศทางธุรกิจ,2563
477-402,โครงงานระบบสารสนเทศทางธุรกิจ 1,2,ระบบสารสนเทศทางธุรกิจ,2567
477-403,โครงงานระบบสารสนเทศทางธุรกิจ II,3,ระบบสารสนเทศทางธุรกิจ,2563
477-403,โครงงานระบบสารสนเทศทางธุรกิจ 2,3,ระบบสารสนเทศทางธุรกิจ,2567
477-404,เตรียมสหกิจศึกษา,1,ระบบสารสนเทศทางธุรกิจ,2563
477-405,สหกิจศึกษา,8,ระบบสารสนเทศทางธุรกิจ,2563
478-200,ความรู้เบื้องต้นในอุตสาหกรรมไมซ์,3,การจัดการไมซ์,2563|2567
478-201,การดำเนินงานด้านไมซ์เสมือนโมเดลธุรกิจ,3,การจัดการไมซ์,2563
478-201,การสื่อสารและการเจรจาอย่างมืออาชีพในอุตสาหกรรมไมซ์,3,การจัดการไมซ์,2567
478-202,การจัดการประชุม,3,การจัดการไมซ์,2563
478-202,การจัดการประชุมองค์กร,3,การจัดการไมซ์,2567
478-203,การจัดการอาหารและเครื่องดื่ม,3,การจัดการไมซ์,2563
478-203,การจัดการการเดินทางเพื่อเป็นรางวัล,3,การจัดการไมซ์,2567
478-204,ความรู้เบื้องต้นในอุตสาหกรรมท่องเที่ยว,3,การจัดการไมซ์,2563
478-204,การพัฒนาบุคลิกภาพอย่างมืออาชีพ,3,การจัดการไมซ์,2567
478-205,การพัฒนาบุคลิกภาพอย่างมืออาชีพ,3,การจัดการไมซ์,2563
478-205,ศิลปะการนำเสนอสำหรับอุตสาหกรรมไมซ์,3,การจัดการไมซ์,2567
478-206,พหุวัฒนธรรมและความฉลาดทางวัฒนธรรมสำหรับอุตสาหกรรมไมซ์,3,การจัดการไมซ์,2567
478-207,นวัตกรรมและความยั่งยืนในอุตสาหกรรมไมซ์,3,การจัดการไมซ์,2567
478-301,การจัดการสถานที่จัดงานและสิ่งอำนวยความสะดวก,3,การจัดการไมซ์,2563
478-301,การจัดการประชุมวิชาชีพ,3,การจัดการไมซ์,2567
478-302,การจัดการการเดินทางเพื่อเป็นรางวัล,3,การจัดการไมซ์,2563
478-302,การจัดการอีเวนต์,3,การจัดการไมซ์,2567
478-303,การจัดการนิทรรศการ,3,การจัดการไมซ์,2563
478-303,การจัดการงานแสดงสินค้า,3,การจัดการไมซ์,2567
478-304,การจัดการอีเวนต์,3,การจัดการไมซ์,2563
478-304,ชุดวิชาการผลิตอีเวนต์ด้านไมซ์และความคิดสร้างสรรค์,3,การจัดการไมซ์,2567
478-305,การฝึกงานทางการจัดการไมซ์,0,การจัดการไมซ์,2563|2567
478-306,การตลาดสำหรับอุตสาหกรรมไมซ์,3,การจัดการไมซ์,2563|2567
478-307,โลจิสติกส์สำหรับอุตสาหกรรมไมซ์,3,การจัดการไมซ์,2563
478-307,การจัดเลี้ยงสำหรับอุตสาหกรรมไมซ์,3,การจัดการไมซ์,2567
478-308,การจัดการจุดหมายปลายทาง,3,การจัดการไมซ์,2563
478-308,การออกแบบงานไมซ์อย่างสร้างสรรค์,3,การจัดการไมซ์,2567
478-309,การเป็นผู้ประกอบการในธุรกิจไมซ์,3,การจัดการไมซ์,2563
478-309,การออกแบบมัลติมีเดียและกราฟิกสำหรับอุตสาหกรรมไมซ์,3,การจัดการไมซ์,2567
478-310,การวิจัยทางการจัดการไมซ์ 1,3,การจัดการไมซ์,2563
478-310,การจัดการนวัตกรรมในอุตสาหกรรมไมซ์,3,การจัดการไมซ์,2567
478-311,การจัดงานอีเวนต์กีฬามวลชน,3,การจัดการไมซ์,2567
478-312,การจัดการอัตลักษณ์และจุดหมายปลายทางในการจัดงานไมซ์,3,การจัดการไมซ์,2567
478-401,การวิจัยทางการจัดการไมซ์ 2,3,การจัดการไมซ์,2563
478-401,การจัดการสถานที่จัดงานและสิ่งอำนวยความสะดวก,3,การจัดการไมซ์,2567
478-402,เตรียมสหกิจศึกษา,1,การจัดการไมซ์,2563
